City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Discription
0,Vaini,TO,-21.2,-175.2,71.76,83,20,8.05,few clouds
1,Pangai,TO,-19.8,-174.35,75.99,67,2,11.52,clear sky
2,Albany,US,42.6001,-73.9662,88.92,49,56,1.99,broken clouds
3,Deputatskiy,RU,69.3,139.9,33.04,83,33,2.82,scattered clouds
4,Saskylakh,RU,71.9167,114.0833,37.18,67,96,6.04,overcast clouds
5,Fairbanks,US,64.8378,-147.7164,55.92,68,20,3.44,few clouds
6,Hithadhoo,MV,-0.6,73.0833,83.55,71,82,11.86,broken clouds
7,Beringovskiy,RU,63.05,179.3167,35.91,97,100,3.36,light rain
8,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,41.59,100,90,2.3,light rain
9,Mar Del Plata,AR,-38.0023,-57.5575,57.0,64,0,4.0,clear sky
10,Port Alfred,ZA,-33.5906,26.891,65.7,43,0,9.26,clear sky
11,Upernavik,GL,72.7868,-56.1549,36.86,82,14,3.58,few clouds
12,Bhinmal,IN,25.0,72.25,85.98,57,12,12.28,few clouds
13,Tasiilaq,GL,65.6145,-37.6368,42.96,92,92,3.91,overcast clouds
14,Sudislavl,RU,57.8817,41.7083,67.71,71,90,0.98,overcast clouds
15,Shirokiy,RU,49.758,129.523,53.19,79,3,5.12,clear sky
16,Tual,ID,-5.6667,132.75,81.21,79,96,14.7,overcast clouds
17,Sorong,ID,-0.8833,131.25,79.09,85,100,7.83,overcast clouds
18,Norman Wells,CA,65.282,-126.8329,42.84,93,90,13.8,light rain
19,Itarema,BR,-2.9248,-39.9167,87.48,57,21,10.09,few clouds
20,Xining,CN,36.6167,101.7667,53.49,74,90,5.73,moderate rain
21,Rikitea,PF,-23.1203,-134.9692,76.44,82,97,14.7,light rain
22,Puerto Ayora,EC,-0.7393,-90.3518,76.96,85,26,8.01,scattered clouds
23,Ushuaia,AR,-54.8,-68.3,38.86,70,75,4.61,broken clouds
24,Halifax,CA,44.6453,-63.5724,77.0,58,86,5.75,overcast clouds
25,Ribeira Grande,PT,38.5167,-28.7,68.4,83,40,13.8,scattered clouds
26,Tazovskiy,RU,67.4667,78.7,33.39,88,72,10.51,broken clouds
27,Kholodnyy,RU,62.7167,147.95,41.95,81,37,7.36,scattered clouds
28,Dikson,RU,73.5069,80.5464,30.72,88,100,11.79,overcast clouds
29,Cayenne,GF,4.9333,-52.3333,86.04,78,75,1.99,broken clouds
30,Tuktoyaktuk,CA,69.4541,-133.0374,32.0,74,90,10.36,overcast clouds
31,Hilo,US,19.7297,-155.09,71.28,87,75,6.91,light rain
